ZCTA5 11970,105523,50216
ZCTA5 11971,117223,14805
ZCTA5 11972,112724,33977
ZCTA5 11973,-,**
ZCTA5 11975,133924,48380
ZCTA5 11976,175446,31181
ZCTA5 11977,122678,19288
ZCTA5 11978,129491,15262
ZCTA5 11980,98192,10359
ZCTA5 12007,N,N
ZCTA5 12008,88112,20893
ZCTA5 12009,98246,7203
ZCTA5 12010,58786,3145
ZCTA5 12015,73834,6218
ZCTA5 12017,79072,18934
ZCTA5 12018,93472,6738
ZCTA5 12019,102526,4933
ZCTA5 12020,83836,3730
ZCTA5 12022,67990,9389
ZCTA5 12023,76287,7161
ZCTA5 12024,N,N
ZCTA5 12025,71128,6842
ZCTA5 12027,102139,8078
ZCTA5 12028,87060,12220
ZCTA5 12029,87216,11652
ZCTA5 12031,55271,8979
ZCTA5 12032,57790,7578
ZCTA5 12033,95932,18869
ZCTA5 12035,49186,12069
ZCTA5 12036,42459,10040
ZCTA5 12037,82378,10533
ZCTA5 12040,60067,13706
ZCTA5 12041,69521,17525
ZCTA5 12042,43066,18857
ZCTA5 12043,65383,7096
ZCTA5 12045,49120,17975
ZCTA5 12046,76802,16704
ZCTA5 12047,64362,3940
ZCTA5 12051,73540,12134
ZCTA5 12052,79686,8965
ZCTA5 12053,94456,8241
ZCTA5 12054,116410,7235
ZCTA5 12056,102899,11159
ZCTA5 12057,61473,6514
ZCTA5 12058,69684,12221
ZCTA5 12059,92317,16753
ZCTA5 12060,94598,18466
ZCTA5 12061,98918,5682
ZCTA5 12062,78127,7546
ZCTA5 12063,151112,89588
ZCTA5 12064,45534,10048
ZCTA5 12065,99374,3575
ZCTA5 12066,71411,7547
ZCTA5 12067,83359,14877
ZCTA5 12068,60162,10290
ZCTA5 12069,66597,25857
ZCTA5 12070,73215,17251
ZCTA5 12071,64243,14399
ZCTA5 12072,61858,9683
ZCTA5 12074,96154,21720
ZCTA5 12075,79537,13105
ZCTA5 12076,62253,5506
ZCTA5 12077,102558,9934
ZCTA5 12078,51473,2607
ZCTA5 12083,71536,7723
ZCTA5 12084,88120,12688
ZCTA5 12085,56699,13448
ZCTA5 12086,75448,10855
ZCTA5 12087,62146,7258
ZCTA5 12089,63843,26896
ZCTA5 12090,59919,5897
ZCTA5 12092,55634,9565
ZCTA5 12093,61019,6202
ZCTA5 12094,78544,11627
ZCTA5 12095,61824,4969
ZCTA5 12106,89322,10924
ZCTA5 12108,71530,11628
ZCTA5 12110,91275,7322
ZCTA5 12115,178668,128923
ZCTA5 12116,55552,7672
ZCTA5 12117,60468,5651
ZCTA5 12118,74691,4669
ZCTA5 12120,82331,26047
ZCTA5 12121,71779,8992
ZCTA5 12122,54977,5415
ZCTA5 12123,75314,9542
ZCTA5 12124,114206,31997
ZCTA5 12125,57518,7766
ZCTA5 12130,80802,18231
ZCTA5 12131,56393,18339
ZCTA5 12132,54064,19784
ZCTA5 12134,61159,3372
ZCTA5 12136,147584,45976
ZCTA5 12137,71062,10718
ZCTA5 12138,68300,5213
ZCTA5 12139,64033,16789
ZCTA5 12140,79426,7631
ZCTA5 12143,64245,5724
ZCTA5 12144,74655,5694
ZCTA5 12147,62029,13530
ZCTA5 12148,106911,10836
ZCTA5 12149,59499,6462
